city,region,district,description,price,Oferta od,Umeblowane,Rodzaj pokoju,Preferowani
Poznañ, Wielkopolskie, Grunwald,"Mieszkanie jest kompletnie urz¹dzone, nowa ³azienka. Lokalizacja bardzo dogodna, blisko przystanek autobusowy pod blokiem, ³atwy dojazd do centrum. Cena za pokój 800 z³ ( czynsz w cenie).",800 z³,"['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],
Poznañ, Wielkopolskie, Pi¹tkowo,"Miesiac PaŸdziernik ju¿ op³acony.Szukamy osób m³odych, niekonfliktowych, ceni¹cych porz¹dek i dobr¹ atmosferê do bardzo ³adnego mieszkania na os. Œmia³ego 19 (Pi¹tkowo). Mieszkanie bardzo dobrze wyposa¿one, przeznaczone tylko dla studentów i absolwentów. Niski blok, 3 piêtro, kuchnia, ³azienka z prysznicem i pralk¹, osobno WC.Pokój taki jak na zdjêciach, zamykany na klucz. W pokoju wygodna kanapa, rozk³adana z pojemnikiem na poœciel. Jest zdecydowanie wygodniejsza od ³ó¿ek bez oparcia. Mo¿na na niej usi¹œæ, oprzeæ siê, poczytaæ ksi¹¿kê, zaprosiæ znajomych na kawê :) Do pokoju prowadzi mniejszy korytarz dziêki czemu mo¿na liczyæ na spokój i prywatnoœæ.Koszt miesiêczny: 600 z³ najem + 150 z³ ogrzewanie (miejskie z cieplika) i œmieci + 70 z³ media (pr¹d, woda).Internet wi-fi oraz sprz¹tanie mieszkania przez firmê zewnêtrzn¹ 1 raz w miesi¹cu w cenie!Pod blokiem (1 minuta spacerkiem!!) przystanek Stoiñskiego (46, 74,91)7 minut piechot¹ na przystanek tramwajowy Kurpiñskiego (14 , 15 , 16, 20 , nocny 201) - 10 minut na Dworzec Zachodni.Pokój wolny od zaraz. Umowa podpisywana do 15/09/2019. Przy podpisaniu umowy wymagana kaucja (zwrotna).Dodatkowe Informacje:Mo¿liwe terminy ogl¹dania pokoju Poniedzia³ek, Wtorek do godziny 12:00,Œroda, Czwartek do uzgodnienia.Nowy najemca powinien byæ osob¹ m³od¹ (do 30 r.¿), studiuj¹c¹ b¹dŸ pracuj¹c¹.Nowy najemca przejmuje warunki umowy poprzedniego najemcy (umowa do 15/09/2019, cena 820 z³, kaucja 820 z³ p³atna gotówk¹, wymagane ubezpieczenie).Umowê mo¿emy podpisaæ z rodzicem najemcy, je¿eli go nie bêdzie wówczas prosimy aby Najemca podpisa³ weksel.W przypadku obcokrajowców pobieramy podwójn¹ kaucjê.Mieszkanie jest 6-pokojowe, wolny tylko pokój ze zdjêæ.Kaucja zwrotna 820z³.",820 z³,"['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],['Studenci']
Poznañ, Wielkopolskie, £azarz,"POKÓJ 1 –OSOBOWYJeœli lubisz piêkne, luksusowe i nowoczesne wnêtrza to ten pokój jest w³aœnie dla Ciebie!Natomiast UWAGA ten pokój jest TYLKO dla tych którzy ceni¹ sobie czystoœæ i porz¹dek oraz przestrzegaj¹ zasad panuj¹cych w mieszkaniu. Lubi¹ i chc¹ dogadywaæ siê ze wspó³lokatorami i nie sprawiaj¹ innym problemów. Szukamy ludzi m³odych – pracuj¹cych ale te¿ spokojnych studentów, którzy imprezuj¹ TYLKO na mieœcie. Jeœli tylko te kryteria spe³niasz to ju¿ teraz mo¿esz dzwoniæ :)Mieszkanie znajduje siê na os. £azarz przy ul.Œniadeckich obok targów MTP. W pobli¿u znajdziesz piêkny Park Wilsona i Palmiarniê Poznañsk¹, gdzie w wolnym czasie mo¿esz wybraæ siê na spacer.W 3 minuty dojdziesz do najwa¿niejszych punktów takich jak: ¯abka, FreshMarket i inne sklepy spo¿ywcze, Apteki i Bankomaty. Niedaleko s¹ jedne z najlepszych restauracji na kulinarnej mapie Poznania tj. Palma i Rukola, Projekt WILSON czy te¿ Pad Thai ale nie tylko:) . 14 minut tramwajem albo 8 minut rowerem zajmie Tobie dojazd na Nocny Targ Towarzyski gdzie œwietnie spêdzisz czas ze znajomymi . Natomiast w 4 minuty dojdziesz na g³ówn¹ i najd³u¿sz¹ ulicê w Poznainiu tj. ul.G³ogowsk¹, gdzie znajdziesz wszystko czego zapragniesz.Natomiast by dostaæ siê do najbli¿szego przystanku tramwajowego przy Parku Wilsona wystarczy 7 minut, a stamt¹d dojedziesz w ka¿dy zak¹tek Poznania w mgnieniu oka. Jakie linie tramwajowe tam napotkasz..? T – 2, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18 oraz dodatkowo autobusy nocne 238, 249, 252.O dworcach PKP i PKS, gdzie dojdziesz na pieszo w kilka minut…nie wspominaj¹c :) Wszystko to mo¿esz sprawdziæ na www.jakdojade.plCo znajduje siê na wyposa¿eniu pokoju…? Masz dostêp do ³ó¿ka z wygodnym materacem, biurkiem i lampk¹, szaf¹ z dr¹¿kiem i pó³kami, komod¹ wolnostoj¹c¹ z szufladami i pó³kami na ksi¹¿ki, wisz¹c¹ na œcianie pó³k¹ na zdjêcia czy te¿ ksi¹¿ki. Dodatkowo na swój w³asny u¿ytek otrzymujesz suszarkê na ubrania co jest bardzo wygodne. Co wa¿ne Twój pokój posiada zamek patentowy i tylko Ty masz do niego dostêp :)A co z kuchni¹…? Ka¿dy lokator ma dostêp do w pe³ni wyposa¿onej kuchni….s¹ w niej garnki, patelnia, talerze, sztuæce, deska do krojenia, kubki, czajnik elektryczny, suszarka na naczynia i nie tylko ? swobodnie mo¿esz gotowaæ na wysokiej jakoœci, nowoczesnej p³ycie indukcyjnej oraz na szybko odgrzewaæ jedzenie w mikrofali. Natomiast by zapach gotuj¹cych potraw nie roznosi³ siê po ca³ym mieszkaniu – w³¹czasz okap kuchenny i po problemie :)A co z ³azienk¹..? Mamy a¿ dwie w pe³ni wyposa¿one ³azienki z prysznicami, toaletami, pralkami, umywalkami i lustrami:):)W czêœciach wspólnych ka¿dy ma równie¿ dostêp do deski do prasowania, ¿elazka, odkurzacza, mopa do mycia pod³óg oraz zmiotki.A ile kosztuje taki pokój…? Op³ata za pokój to tylko czynsz 800z³ + 150z³ za wszystkie media( w tym pr¹d, gaz, woda, œmieci, œcieki..) A Internet o wysokiej przepustowoœci dajemy Tobie w gratisie! :)Zawsze przy podpisywaniu umowy prosimy o wp³atê kaucji w wysokoœci 1000 z³, która jest zwracana przy zakoñczeniu umowy najmu:)Co wa¿ne nie jesteœmy ¿adnym biurem poœrednictwa i nie pobieramy ¿adnych dodatkowych op³at – po prostu lubimy dbaæ o naszych lokatorów :)Jeœli jesteœ zainteresowany/a dzwoñ pod numer 501 - poka¿ numer telefonu - . Nie odpisujemy na ¿adne wiadomoœci- wolimy z Tob¹ porozmawiaæ :)",800 z³,"['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],['Studenci']
Poznañ, Wielkopolskie, Je¿yce,"Pokój jednoosobowy dla studentki. W du¿ym domu panuje dobra atmosfera poniewa¿ mieszkasz tylko z kobietami bez w³aœcicieli! Dodatkowo wszystkie op³aty (pr¹d, ogrzewanie, woda, internet, smiecie itp.) to 150 z³. miesiêcznie, sta³e! niezmienne! brak dodatkowych op³at (niespodzianek.)  Mamy pokoje w ró¿nych cenach. Pokoje zamykane, czyste, co roku odœwie¿ane, umeblowane: szafa, pó³ka, ³ó¿ko (wiêkszoœæ z nowym wypranym pokrowcem na materac), biurko, krzes³o.  Umowa do 30 Czerwca. Superszybki internet.4 £azienki dobrze wyposa¿one.  Du¿a kuchnia urz¹dzona ze wszystkim co potrzebne:  naczynia, patelnia, garnek, mikrofala, kuchenka gazowa, piekarnik, p³yta indukcyjna, piecyk elektryczny itp.) Wysoki standard pokoi, ³azienek, kuchni. Pokoje by³y malowane 4 lata temu i s¹ co roku odœwie¿ane. Dla osób które lubi¹ czystoœæ, bez zwierz¹t lub palenia w domu. Wiêkszoœæ pokoi od strony s³oñca. Dojazd tramwajem do centrum oko³o 10 minut . 2 minuty pieszo do przystanku. Du¿y ogród, darmowe parkowanie samochodu lub roweru. Bezpieczne miejsce poœród domków jednorodzinnych. W pokoju grzejnik, ogrzewanie gazowe (grzejemy od PaŸdziernika do Maja w domu jest ciep³o szczególnie w zimê). Cisza, bezpieczeñstwo, wokó³ ³adny ogród, czyste powietrze. £azienki i kuchnia oraz przedpokoje bêd¹ sprz¹tane na nasz koszt raz w miesi¹cu co odci¹¿y was czêœciowo od sprz¹tania. Ponadto zapewniamy bezp³atnie worki na œmiecie, œrodki czystoœci, œcierki, mopy, odkurzacze, ¿arówki, itp. Wykonujemy bie¿¹ce naprawy na nasz koszt. Wiêkszoœæ pokoi by³o odnowionych, przemalowanych i czystych. Polecamy szczególnie studentkom które chc¹ skupiæ siê na nauce i byæ w bezpiecznym miejscu bez g³oœnych imprez, wiele studentek na pierwszym roku, wiêc od razu nawi¹zujesz nowe relacje i ³atwo jest zaaklimatyzowaæ siê w Poznaniu :)Proszê dzwoniæ, ¿adko odpisujemy na wiadomoœci lub zapytania.","499 z³
Do negocjacji","['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],['Kobiety']
Poznañ, Wielkopolskie, Winogrady,"Wynajmê  pokój dwuosobowy z balkonem (idealny równie¿ dla pary), w dwupokojowym mieszkaniu, w bloku na Winogradach, os. Wichrowe Wzgórza (drugi pokój zajmuje pracuj¹ca studentka). Pokój ma powierzchniê 20 m2 i wyposa¿ony jest w now¹, wygodn¹ wersalkê, telewizor, du¿y stó³ z krzes³ami oraz meble (szafy, szafki i szuflady). Do dyspozycji mieszkañców jest równie¿ kuchnia (du¿a lodówka z zamra¿alnikiem, kuchnia gazowa z piekarnikiem, mikrofalówka, czajnik bezprzewodowy, pralka) oraz du¿a ³azienka (wanna + wc).Podana cena jest cen¹ OD POKOJU (900 + 300 z³ czynsz). Dodatkowe op³aty tylko za zu¿yty pr¹d i gaz. Bardzo dogodna lokalizacja, blisko sklepy ( ma³y osiedlowy sklep spo¿ywczy obok bloku), ³atwy dojazd do Centrum, Morasko, Rataje, Ogrody, w pobli¿u przystanki: autobusowy i tramwajowy oraz szybki tramwaj PESTKA, a tak¿e du¿a galeria PLAZA widoczna z balkonu. Dodatkowym atutem s¹ dwie windy w bloku!Pozosta³e informacje przez telefon.",900 z³,"['Osoby', 'prywatnej']",['Tak'],['Dwuosobowy'],['Studenci']
Poznañ, Wielkopolskie, Winogrady,"Du¿y pokój w domku jednorodzinnymdla 2 osób lub pary 25m2Do wynajêcia  umeblowany pokójKuchnia wyposa¿ona w lodówkê, kuchenkê gazow¹ z piekarnikiem, talerze, sztuæce, itp.³azienka: prysznic , WC, pralkaKOSZTY550 z³ osoba za miesi¹c w tym ogrzewanie, woda, pr¹d i gaz oraz Internet. tel  605 - poka¿ numer telefonu -",550 z³,"['Osoby', 'prywatnej']",['Tak'],['Dwuosobowy'],
Poznañ, Wielkopolskie, Rataje,"Ostatni pokój na os POLAN 17/1 ! ! ! W pe³ni umeblowany z super lokatorami ! :)Okolica jest spokojna i bezpieczna. Tu¿ pod blokiem jest mo¿liwoœæ zaparkowania samochodem na bezp³atnym parkingu. PARK TU¯ przy bloku! ! ! Du¿o ZIELENI! :)Mieszkanie i pokój w pe³ni wyposa¿one!Lokalizacja! Piêkne urokliwe Rataje! ;)2 min. do przystanku autobusowego10 min do przystanku tramwajowego2 min. do Lidla7 min do Piotra i Paw³a10 min tramwajem/autobusem na AWF i PolitechnikêMieszkanie od zaraz. Pokoje przeznaczone dla studentów/ m³odych osób pracuj¹cych (do 30lat)Op³aty:Czynsz: 670 + media wg zu¿ycia (70-100 z³)Przy podpisaniu umowy wymagana jest wp³ata kaucji.!! Internet z Wi-Fi w cenie najmu !!Je¿eli nie odbieram, proszê o pozostawienie SMS, oddzwoniê ;)Umowa do koñca sierpnia.Kontakt Priv lub730 - poka¿ numer telefonu -",670 z³,"['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],
Poznañ, Wielkopolskie, Je¿yce,"Oferujê do wynajêcia super pokój o podwy¿szonym standardzie zaraz przy rynku je¿yckim (Poznañska 1). Generalnie wszêdzie bardzo blisko fajnie i przyjemnie. W mieszkaniu ³¹cznie pokoi jest trzy, a blok wybudowano w 2017 roku. Wykoñczenie o wysokim standardzie. Kuchnia ze zmywark¹ i takie tam.Opisywany pokój jest w pe³ni umeblowany tak jak widaæ na zdjêciach (zdjêcia na potrzeby airbnb).Zale¿y mi na tym, aby znaleŸæ fajn¹, bezkonfliktow¹ i normaln¹ osobê. Bez ¿adnej ró¿nicy czy to bêdzie ch³opak czy dziewczyna. Wiekowo fajnie gdyby by³o to miêdzy 20-30 lat, ale z doœwiadczenia wiem, ¿e metryka ma³o znaczy.W okolicy :Zakwas- ten sam budynek - parter - kawiarnia ze œniadaniami i super chlebem¯abka - na przeciwkoAlkohole - minuta od drzwi wejœciowychBiedronka - 5/10 min na pieszoPrzystanki linii 2, 17, 18, 63 w granicach 5 min na pieszo.Rynek je¿ycki - 50 metrówCenowo wygl¹da nastêpuj¹co :950 czynsz najmu210 administracja, ogrzewanie, woda itpok 30 z³ pr¹d20 internetlub1200 all inWa¿ne!Nie trzeba podpisywaæ umowy na niezliczon¹ iloœæ miesiêcy. Im d³u¿ej tym fajniej oczywiœcie, ale nikogo nie chcê wi¹zaæ ze sob¹ na dwanaœcie miesiêcy tak¿e oferta jak najbardziej na krótsze okresy równie¿.P.S. Jeden z lokatorów to rodowity anglik tak¿e english gratis.","950 z³
Do negocjacji","['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],
Poznañ, Wielkopolskie, Stare Miasto,"Wynajmê pokój w mieszkaniu sk³adaj¹cym siê z kuchni, 3-ch pokoi2 osobowych, ³azienki z kabin¹ prysznicow¹ i 2-ch toalet. Ponadto wyposa¿one jest w sta³y internet, telewizor Samsung, sprzêt agd, a pokój mo¿e byæ zamykany na klucz. Mieszkanie usytuowane jest w ocieplonym budynku, zaopatrzonym w system kodowanego dostêpu i w monitoring.Czynsz w kwocie 960 z³ za pokój /tj. 480 z³ od osoby/ plus op³aty licznikowe wg zu¿ycia dzielone przez iloœæ osób. W czynsz wliczone zosta³y op³aty za internet i za telewizjê.Zapraszam do obejrzenia mieszkania.  Kontakt tel. – tel.  602 - poka¿ numer telefonu -",480 z³,"['Osoby', 'prywatnej']",['Tak'],['Dwuosobowy'],['Studenci']
Poznañ, Wielkopolskie, Je¿yce,"Mam do wynajêcia pokój jednoosobowy ( umeblowany )  na ul. Romka Strza³kowskiego 15 ( Poznañ, Je¿yce ), w mieszkaniu 5-pokojowym. Bardzo dobra lokalizacja.Szukam studenta/studentki lub osoby pracuj¹cej. W mieszkaniu znajdujê siê w pe³ni umeblowana kuchnia, toaleta i ³azienka.Czynsz wynosi 680 z³ + op³aty za media.",680 z³,"['Osoby', 'prywatnej']",['Tak'],['Jednoosobowy'],['Studenci']
